44 48 882
56 71 223
16 56 448
12 31 277
21 43 631
29 46 902
25 45 106
37 50 300
12 42 49
70 81 764
14 22 100
28 87 35
12 37 330
39 53 122
8 29 184
27 29 496
47 83 223
45 70 269
36 90 287
30 62 13
68 86 287
14 41 842
65 74 466
54 60 166
67 98 609
24 78 512
22 93 385
42 99 908
11 49 167
2 53 494
62 86 77
92 93 322
54 74 904
53 86 177
13 20 312
58 66 557
46 71 269
19 60 830
51 99 635
69 81 976
80 90 697
78 84 565
27 69 967
2 4 997
41 55 28
36 97 876
13 98 290
69 89 196
1 30 536
18 69 168
54 88 831
37 39 496
4 41 115
49 58 982
12 35 857
38 95 243
69 97 295
57 68 9
2 21 974
14 38 446
3 73 200
63 84 381
45 86 54
59 97 698
65 78 740
42 98 363
2 49 226
37 95 693
47 63 202
7 43 400
22 62 314
0 86 358
15 64 279
44 74 554
91 95 277
29 33 328
61 77 813
29 54 649
30 91 215
19 77 127
70 74 25
14 66 77
41 79 368
60 99 802
49 57 13
7 25 276
6 45 553
12 64 741
33 95 234
56 63 374
55 92 988
74 85 892
18 44 419
20 23 828
51 64 671
24 75 611
30 47 349
62 68 420
24 64 503
14 61 369
29 62 844
52 70 335
40 46 467
45 82 511
68 75 563
34 91 946
22 82 571
5 48 222
0 74 980
43 91 955
3 87 680
47 53 970
46 74 804
34 60 485
11 35 553
2 80 129
37 93 236
7 44 272
31 39 891
32 45 377
88 94 792
4 60 206
33 60 314
11 30 830
2 54 708
58 91 484
9 32 813
12 55 133
76 86 894
50 66 49
7 45 275
40 60 323
15 71 697
9 64 846
30 87 192
13 21 780
78 93 175
22 67 586
5 45 949
66 99 276
38 77 818
29 68 951
6 19 765
48 97 994
38 52 879
14 45 765
27 95 564
57 66 310
36 86 805
42 60 739
22 34 69
59 64 603
3 5 158
19 27 991
21 50 800
50 61 756
24 51 42
26 98 694
24 43 879
26 75 844
24 73 696
46 51 267
54 70 794
9 74 398
20 77 244
14 73 211
59 98 79
4 20 92
9 14 510
16 68 553
50 53 569
9 56 953
62 81 789
47 96 987
20 33 24
13 54 569
32 46 222
26 40 118
25 92 768
2 67 674
56 94 859
60 75 932
38 79 597
1 12 61
18 35 495
38 87 692
0 40 198
45 73 431
57 99 977
29 42 328
85 92 321
12 87 843
10 13 548
5 24 657
49 75 143
2 11 547
71 88 206
24 36 10
15 63 313
4 9 110
9 39 344
74 89 988
39 72 150
4 82 907
13 58 422
49 70
71 85
42 85
26 31
5 39
19 54
42 77
31 38
31 88
33 63
57 90
1 11
0 36
9 17
61 63
47 59
5 18
33 77
22 39
12 43
59 84
62 66
41 96
69 96
15 96
25 50
47 87
22 40
9 70
5 23
48 84
65 95
31 67
28 72
20 42
21 75
30 99
82 95
51 94
58 91
44 61
51 83
24 91
30 45
15 84
6 31
15 25
17 57
10 15
55 56
18 41
54 57
42 68
3 92
45 85
42 80
20 47
12 38
23 83
2 14
25 90
12 50
79 81
0 4
20 49
32 50
23 25
31 42
53 91
6 56
16 22
17 23
31 69
32 93
36 70
28 48
22 57
44 72
27 89
20 56
9 30
40 60
20 61
33 99
69 92
58 60
62 73
41 61
33 92
47 48
26 80
64 67
32 86
33 67
4 9
46 53
35 60
59 93
36 67
43 44
